,features,labels
59,[0.22909706 0.0972547  0.09260952 ... 0.04669011 0.04996677 0.02960754],Acne
60,[0.27602355 0.16767938 0.10835405 ... 0.09858241 0.0688125  0.2934396 ],Acne
61,[0.22596218 0.0317371  0.08091403 ... 0.07111045 0.16512727 0.22469526],Acne
62,[0.25495343 0.25495343 0.25495343 ... 0.18451632 0.08412807 0.21744866],Acne
63,[0.22284415 0.07923501 0.06694875 ... 0.05033858 0.16142624 0.18932465],Acne
64,[0.24173938 0.1547778  0.16155541 ... 0.05422911 0.08018814 0.13484218],Acne
65,[0.27535687 0.         0.06490224 ... 0.17586542 0.09276174 0.1407193 ],Acne
66,[0.17764414 0.07391716 0.10077004 ... 0.16556275 0.14339593 0.08408394],Acne
67,[0.21334716 0.12086322 0.0902666  ... 0.1272127  0.14984632 0.14744352],Acne
68,[0.24519367 0.24519367 0.16613155 ... 0.10464194 0.14800646 0.23828877],Acne
69,[0.23487193 0.21808768 0.19225751 ... 0.2372622  0.24211862 0.07006381],Acne
70,[0.10737413 0.11158199 0.25732458 ... 0.13980387 0.11138455 0.16321152],Acne
71,[0.24208333 0.19764585 0.06632151 ... 0.05904185 0.09406546 0.13423538],Acne
72,[0.23302875 0.23302875 0.12695112 ... 0.19263726 0.08357564 0.23829924],Acne
73,[0.09077922 0.00389441 0.02955646 ... 0.0508701  0.11806314 0.13913518],Acne
74,[0.22816877 0.22816877 0.18892283 ... 0.17017425 0.08666489 0.05019327],Acne
75,[0.23886476 0.08080067 0.08960629 ... 0.18129122 0.1770011  0.07770659],Acne
76,[0.26320715 0.13133875 0.20695606 ... 0.10119429 0.14392553 0.06168044],Acne
77,[0.2380483  0.08738238 0.19379333 ... 0.06385318 0.1391115  0.11332229],Acne
78,[0.22073401 0.16503665 0.0344837  ... 0.09056415 0.16968706 0.07395641],Acne
79,[0.23001985 0.23001985 0.18126907 ... 0.04064157 0.25637666 0.25637666],Acne
80,[0.22603664 0.14143977 0.11268056 ... 0.15972789 0.20461483 0.12267394],Acne
81,[0.30088191 0.17667932 0.04790825 ... 0.         0.         0.        ],Acne
82,[0.24599588 0.08662808 0.07167819 ... 0.0922466  0.18902531 0.09997165],Acne
83,[0.27696282 0.0888189  0.04852421 ... 0.14304865 0.24769136 0.14762792],Acne
84,[0.26722923 0.26722923 0.26722923 ... 0.06917532 0.18144587 0.06629173],Acne
85,[0.28211253 0.27797311 0.15077579 ... 0.11367997 0.11583135 0.11574295],Acne
86,[0.24970664 0.13025136 0.11599292 ... 0.05186226 0.01574136 0.02893506],Acne
87,[0.21926267 0.1563653  0.14157936 ... 0.19116424 0.04625456 0.09641832],Acne
88,[0.25465001 0.07777539 0.09980798 ... 0.13142767 0.15933815 0.20337449],Acne
89,[0.25781637 0.13573408 0.21318569 ... 0.00525657 0.00525657 0.0179506 ],Acne
90,[0.2544749  0.13764839 0.0934007  ... 0.06748797 0.02680262 0.00786952],Acne
91,[0.15721678 0.10134339 0.19760336 ... 0.01599116 0.01355773 0.02991276],Acne
92,[0.25222134 0.23090627 0.08813319 ... 0.19327759 0.09794098 0.06644356],Acne
93,[0.23380215 0.23380215 0.19818563 ... 0.20611278 0.08633486 0.        ],Acne
94,[0.36388852 0.         0.         ... 0.07255307 0.0176461  0.03230963],Acne
95,[0.25790861 0.05997279 0.1251658  ... 0.26169337 0.26169337 0.03863298],Acne
96,[0. 0. 0. ... 0. 0. 0.],Acne
97,[0.26788845 0.26788845 0.07742061 ... 0.19386892 0.23505928 0.18162802],Acne
98,[0.26585124 0.07945806 0.21776599 ... 0.14099661 0.11169251 0.14717855],Acne
99,[0.30674182 0.20597381 0.19400929 ... 0.04130456 0.0798981  0.10428127],Acne
100,[0.27276577 0.08110079 0.09232676 ... 0.19721022 0.14990057 0.22184058],Acne
101,[0.         0.         0.         ... 0.2595046  0.2595046  0.04175868],Acne
102,[0.2183382  0.11970284 0.16833629 ... 0.07788157 0.08557162 0.02227739],Acne
103,[0.33298113 0.02883971 0.         ... 0.05723745 0.10199229 0.13583858],Acne
104,[0.23628728 0.11287882 0.22743808 ... 0.         0.         0.        ],Acne
105,[0.24693159 0.10652726 0.0738326  ... 0.24061576 0.12278155 0.06431848],Acne
106,[0.28230242 0.28230242 0.13585704 ... 0.16432358 0.1320522  0.21394878],Acne
107,[0.26266825 0.19391912 0.10137768 ... 0.10330623 0.16612532 0.23629005],Acne
108,[0.23225167 0.23225167 0.14774572 ... 0.11111306 0.1582777  0.12012753],Acne
109,[0.11610397 0.15719918 0.16969056 ... 0.13378322 0.17890165 0.1414406 ],Acne
110,[0.22044122 0.24454909 0.24454909 ... 0.12558244 0.1780102  0.09836534],Acne
111,[0.23213879 0.11218832 0.08442962 ... 0.07577726 0.02496388 0.        ],Acne
112,[0.25289211 0.19049915 0.04913934 ... 0.14529277 0.12500493 0.08259563],Acne
113,[0.21706411 0.04320653 0.11380215 ... 0.10421378 0.11135963 0.2373161 ],Acne
114,[0.25944365 0.13258599 0.12125656 ... 0.         0.         0.        ],Acne
115,[0.24795493 0.0301553  0.09435443 ... 0.14596219 0.13191845 0.14885052],Acne
116,[0.24040647 0.09980977 0.04445978 ... 0.08966165 0.07545239 0.22659918],Acne
117,[0.25972743 0.22699868 0.06512509 ... 0.08251975 0.03138477 0.13552596],Acne
118,[0.26193246 0.08153995 0.15347703 ... 0.06572052 0.17239333 0.09011639],Acne
119,[0.30335615 0.23329787 0.23972491 ... 0.15516259 0.19861604 0.16117647],Acne
120,[0.21734158 0.19747626 0.07263098 ... 0.04535394 0.12003172 0.19673856],Acne
121,[0.24490402 0.18077335 0.1825796  ... 0.24137326 0.24137326 0.24137326],Acne
122,[0.2678156  0.21537547 0.12200324 ... 0.         0.         0.        ],Acne
123,[0.31094225 0.02601007 0.02467531 ... 0.10623767 0.1908862  0.20514747],Acne
124,[0.23620674 0.10737299 0.15212377 ... 0.         0.         0.        ],Acne
125,[0.31479016 0.05316073 0.07947266 ... 0.37086402 0.31480252 0.09189711],Acne
126,[0.24884479 0.08076927 0.05598239 ... 0.11897523 0.24403632 0.16964381],Acne
127,[0.23568675 0.21673865 0.19943103 ... 0.14562103 0.05202083 0.21259003],Acne
128,[0.25197841 0.25197841 0.1450176  ... 0.08560216 0.06220591 0.12540392],Acne
129,[0.22449564 0.14274935 0.08714428 ... 0.10483486 0.10630375 0.06818508],Acne
130,[0.20008066 0.08514356 0.12026808 ... 0.         0.         0.        ],Acne
131,[0.21937367 0.00409005 0.02113739 ... 0.21917111 0.19786815 0.0619759 ],Acne
132,[0.23602071 0.23602071 0.16597167 ... 0.01837087 0.29669535 0.29669535],Acne
133,[0.2524469  0.23128917 0.10866722 ... 0.09538041 0.04517897 0.04088555],Acne
134,[0.41464459 0.05861097 0.03165333 ... 0.22714335 0.22741304 0.18121246],Acne
135,[0.22394926 0.07598207 0.02502087 ... 0.14794928 0.10537495 0.01988828],Acne
136,[0.25586347 0.08767978 0.09423435 ... 0.05421807 0.08336262 0.03012111],Acne
137,[0.27834055 0.1341865  0.06490069 ... 0.06934548 0.01096449 0.        ],Acne
138,[0.32259478 0.011991   0.00986518 ... 0.1613988  0.17269876 0.19342583],Acne
139,[0.24097331 0.24097331 0.16603991 ... 0.14015695 0.1381594  0.11275483],Acne
140,[0.26950311 0.26950311 0.26950311 ... 0.06927159 0.0951244  0.03482726],Acne
141,[0.22729719 0.21593623 0.15651714 ... 0.04580798 0.13626775 0.10886203],Acne
142,[0.26895799 0.04021857 0.03731526 ... 0.17721737 0.18415143 0.15206103],Acne
143,[0.24224919 0.07465159 0.03195529 ... 0.09117895 0.07162573 0.20299205],Acne
144,[0.24228332 0.08675252 0.11837058 ... 0.04096483 0.06649785 0.10146306],Acne
145,[0.24185561 0.2003253  0.24185561 ... 0.15159399 0.21926068 0.15472785],Acne
146,[0.23609882 0.23609882 0.20948218 ... 0.20506722 0.09131121 0.12590124],Acne
147,[0.25820714 0.16404206 0.09762268 ... 0.         0.         0.        ],Acne
148,[0.24253094 0.14711813 0.11041731 ... 0.05802943 0.2219832  0.15680829],Acne
149,[0.26086566 0.09306086 0.05812188 ... 0.22974605 0.14751714 0.        ],Acne
150,[0.26722626 0.12072829 0.05623835 ... 0.03466699 0.06595633 0.26536183],Acne
151,[0.24869973 0.12307283 0.09948284 ... 0.12672246 0.24487536 0.11432339],Acne
152,[0.24400318 0.24400318 0.13395377 ... 0.08548471 0.04456742 0.14808191],Acne
153,[0.31963562 0.28317768 0.12938097 ... 0.09117525 0.13451641 0.20338055],Acne
154,[0.23370419 0.10002453 0.15846256 ... 0.12112846 0.29063404 0.29063404],Acne
155,[0.16764151 0.08527542 0.03102923 ... 0.05656344 0.01277638 0.05420559],Acne
156,[0.24265644 0.18027993 0.05742954 ... 0.15112954 0.15711112 0.20711563],Acne
157,[0.2313094  0.14567261 0.2313094  ... 0.06735226 0.05916018 0.14393823],Acne
158,[0.         0.         0.         ... 0.11166545 0.         0.        ],Acne
159,[0.30315488 0.14852991 0.10017665 ... 0.14010213 0.0221521  0.        ],Acne
160,[0.22134244 0.21670116 0.14524177 ... 0.04572963 0.13425946 0.06152119],Acne
161,[0.30574443 0.30574443 0.25820815 ... 0.19016967 0.22120943 0.17682548],Acne
162,[0.17269548 0.09627423 0.08583982 ... 0.02874237 0.00983047 0.02865763],Acne
163,[0.25134011 0.10737809 0.02343302 ... 0.09352    0.03696703 0.05624168],Acne
164,[0.22637858 0.17612093 0.22637858 ... 0.14053144 0.05403473 0.26765519],Acne
165,[0.21233998 0.22836923 0.11344683 ... 0.08924671 0.20472027 0.25363345],Acne
166,[0.21988514 0.14817514 0.1880428  ... 0.09985851 0.11578113 0.00715057],Acne
167,[0.16357627 0.         0.11566589 ... 0.19551124 0.11784831 0.        ],Acne
168,[0.23710008 0.19000367 0.15900512 ... 0.16393553 0.15156921 0.10329039],Acne
169,[0.27658174 0.23714422 0.27658174 ... 0.         0.         0.        ],Acne
170,[0.21647503 0.19316521 0.22182475 ... 0.15630238 0.11464436 0.16056856],Acne
171,[0.0704494  0.0539066  0.16953661 ... 0.03470682 0.03974691 0.0457714 ],Acne
172,[0.23157805 0.14289459 0.0971064  ... 0.04733669 0.06338155 0.19222995],Acne
173,[0.31806649 0.31806649 0.31806649 ... 0.09867354 0.08473774 0.21570508],Acne
174,[0.22334324 0.13916606 0.22170933 ... 0.13655339 0.21531016 0.21693617],Acne
175,[0.27004702 0.03657203 0.09252072 ... 0.12975526 0.04831553 0.15077505],Acne
176,[0.24619777 0.2226832  0.05878902 ... 0.         0.         0.        ],Acne
177,[0.25044068 0.10737721 0.17047696 ... 0.04290591 0.04461651 0.02022834],Acne
178,[0.30994033 0.07877676 0.03423686 ... 0.         0.         0.        ],Acne
179,[0.24932134 0.14036538 0.1764184  ... 0.07814497 0.06991896 0.09841617],Acne
180,[0.1592162  0.01994913 0.03047689 ... 0.05498759 0.03477721 0.0245912 ],Acne
181,[0.25170418 0.01643812 0.04888152 ... 0.08224093 0.01658053 0.0336058 ],Acne
182,[0.30594938 0.16247414 0.0976587  ... 0.1459494  0.09230651 0.        ],Acne
183,[0.2391632  0.14375898 0.09831489 ... 0.11513473 0.19529784 0.12241073],Acne
184,[0.22804038 0.22804038 0.22804038 ... 0.14261277 0.15047132 0.19457165],Acne
185,[0.17625808 0.09315455 0.25024993 ... 0.02369941 0.         0.        ],Acne
186,[0.23469067 0.07900309 0.13437661 ... 0.21028444 0.2286012  0.16450542],Acne
187,[0.23331506 0.23331506 0.23331506 ... 0.19224226 0.20352051 0.10725016],Acne
188,[0.24252857 0.24252857 0.17126357 ... 0.1518401  0.18918145 0.17779365],Acne
189,[0.22248001 0.15437889 0.22248001 ... 0.06673167 0.09183948 0.05066527],Acne
190,[0.22803268 0.10710225 0.22803268 ... 0.01033158 0.         0.        ],Acne
191,[0.25811756 0.04295995 0.10721248 ... 0.04315143 0.04685861 0.10120463],Acne
192,[0.45638068 0.         0.12249899 ... 0.15123834 0.20575289 0.147296  ],Acne
193,[0.23382167 0.08966399 0.17364858 ... 0.16952146 0.23906208 0.23906208],Acne
194,[0.23762385 0.11974708 0.11688415 ... 0.14385482 0.13626997 0.08142734],Acne
195,[0.24894423 0.06450023 0.13729422 ... 0.11956039 0.1449162  0.22352808],Acne
196,[0.27476981 0.09589525 0.17886009 ... 0.06595936 0.12166893 0.15834102],Acne
197,[0.23504397 0.06651171 0.06357233 ... 0.1246268  0.10932663 0.15470175],Acne
198,[0.24303985 0.14290793 0.18605881 ... 0.06493219 0.07488815 0.08352091],Acne
199,[0.2914524  0.15538951 0.06203483 ... 0.04166548 0.05327278 0.09837516],Acne
200,[0.25637382 0.25637382 0.25637382 ... 0.21234481 0.14206419 0.04564017],Acne
201,[0.28294433 0.21106928 0.07116765 ... 0.06330697 0.20601092 0.14100208],Acne
202,[0.20665629 0.08222847 0.10569548 ... 0.19583442 0.07005773 0.        ],Acne
203,[0.23608231 0.18013316 0.14180931 ... 0.         0.         0.        ],Acne
204,[0.23362544 0.17385609 0.20850058 ... 0.20331746 0.22203688 0.09370815],Acne
205,[0.23012313 0.13307453 0.20194702 ... 0.17426536 0.06237793 0.12167608],Acne
206,[0.15627471 0.22926992 0.22539254 ... 0.05294827 0.08950291 0.06011106],Acne
207,[0.32025299 0.07135367 0.09514737 ... 0.08022428 0.         0.        ],Acne
208,[0.30535373 0.27490733 0.0999622  ... 0.01419309 0.03086312 0.0116251 ],Acne
209,[0.29239399 0.24125367 0.1053178  ... 0.08921561 0.12143303 0.04799915],Acne
210,[0.27654737 0.27654737 0.08729292 ... 0.01392392 0.10109921 0.24542232],Acne
211,[0.25455809 0.1123687  0.0642039  ... 0.07079559 0.18549385 0.23165479],Acne
212,[0.26368257 0.06150185 0.13282255 ... 0.10497074 0.24547134 0.24547134],Acne
213,[0.31171511 0.31171511 0.1203963  ... 0.11101219 0.08219387 0.10566466],Acne
214,[0.18844058 0.09028914 0.11531653 ... 0.04419484 0.09571242 0.03952907],Acne
215,[0.23835969 0.11315816 0.09010413 ... 0.16743323 0.         0.        ],Acne
216,[0.         0.         0.         ... 0.07825679 0.1147159  0.06855942],Acne
217,[0.32354128 0.19614127 0.13034381 ... 0.25929238 0.         0.        ],Acne
218,[0.22713882 0.04868023 0.15520278 ... 0.11783229 0.1036755  0.10373515],Acne
219,[0.31839757 0.16119096 0.01919584 ... 0.         0.         0.        ],Acne
220,[0.16350483 0.16084984 0.24871271 ... 0.126125   0.15401289 0.10279074],Acne
221,[0.24022513 0.21853366 0.24022513 ... 0.05895917 0.         0.08588473],Acne
222,[0.31809192 0.2293974  0.28615992 ... 0.         0.         0.        ],Acne
223,[0.30361194 0.         0.27862382 ... 0.         0.         0.        ],Acne
224,[0.19262897 0.22557607 0.22557607 ... 0.11490467 0.1801566  0.14709411],Acne
225,[0.19362265 0.03367286 0.07817445 ... 0.25767461 0.18602884 0.1056236 ],Acne
226,[0.14263871 0.17230695 0.10849392 ... 0.12612096 0.23496208 0.25952691],Acne
227,[0.17576222 0.19565368 0.18990809 ... 0.09201469 0.06033221 0.05100775],Acne
228,[0.2347514  0.12444836 0.11900411 ... 0.03151838 0.         0.        ],Acne
229,[0.24138841 0.20102975 0.22282218 ... 0.08317742 0.10855456 0.16477121],Acne
230,[0.         0.         0.         ... 0.04176577 0.04383381 0.19914277],Acne
231,[0.2330414  0.2330414  0.2330414  ... 0.1109543  0.13753751 0.04248215],Acne
232,[0.20975041 0.07040281 0.06405156 ... 0.00113602 0.         0.00110401],Acne
233,[0.22785494 0.22785494 0.20377324 ... 0.14901657 0.07013572 0.06348321],Acne
234,[0.22581305 0.21125673 0.19588752 ... 0.06552926 0.02627741 0.07103487],Acne
235,[0.27876116 0.14879183 0.0901202  ... 0.04920506 0.05561327 0.18358525],Acne
236,[0.21762928 0.07013295 0.05703694 ... 0.048613   0.12540823 0.08901206],Acne
237,[0.41002255 0.08604995 0.02721138 ... 0.10264414 0.22031006 0.19650548],Acne
238,[0.12123299 0.07882632 0.19137078 ... 0.16214301 0.24077522 0.24077522],Acne
239,[0.22136432 0.19995205 0.22136432 ... 0.15983    0.18711987 0.05462411],Acne
240,[0.23085705 0.08783612 0.0494211  ... 0.0309715  0.02098725 0.0965608 ],Acne
241,[0.24241447 0.13654531 0.13169045 ... 0.12768257 0.14128493 0.18692743],Acne
242,[0.18366158 0.05094575 0.01168472 ... 0.0777627  0.11331195 0.09117841],Acne
243,[0.22785972 0.1668873  0.0288603  ... 0.11225552 0.12484887 0.1236072 ],Acne
244,[0.26098513 0.16944395 0.23019683 ... 0.02255655 0.02414125 0.01046173],Acne
245,[0.15308859 0.25582642 0.1517761  ... 0.27456187 0.10653698 0.00774199],Acne
246,[0.22013796 0.12641676 0.18015453 ... 0.08300139 0.12875176 0.0231996 ],Acne
247,[0. 0. 0. ... 0. 0. 0.],Acne
248,[0.31094225 0.02601007 0.02467531 ... 0.10623767 0.1908862  0.20514747],Acne
249,[0.33027459 0.16669211 0.10542534 ... 0.15345596 0.13208178 0.14042236],Acne
250,[0.22792343 0.06143879 0.09805167 ... 0.11230835 0.13629494 0.1770462 ],Acne
251,[0.247056   0.18641495 0.01362545 ... 0.2277942  0.08691546 0.22854799],Acne
252,[0. 0. 0. ... 0. 0. 0.],Acne
253,[0. 0. 0. ... 0. 0. 0.],Acne
254,[0.20034924 0.22699593 0.16729806 ... 0.17997254 0.12905143 0.13826767],Acne
255,[0.22217563 0.13885846 0.05307241 ... 0.03648242 0.03206144 0.03028387],Acne
256,[0.         0.         0.         ... 0.12630935 0.         0.        ],Acne
257,[0.25915644 0.16703363 0.07863841 ... 0.12375774 0.11706179 0.22269651],Acne
258,[0.30361194 0.         0.27862382 ... 0.         0.         0.        ],Acne
259,[0.13200728 0.05900084 0.14609445 ... 0.02371856 0.06084173 0.06352622],Acne
260,[0.24596951 0.22382844 0.13905899 ... 0.08740622 0.07410095 0.02295118],Acne
261,[0. 0. 0. ... 0. 0. 0.],Acne
262,[0.25017648 0.15583424 0.11022423 ... 0.16492801 0.2245221  0.11265811],Acne
263,[0.30669439 0.16869337 0.10333169 ... 0.095824   0.14971855 0.12492496],Acne
264,[0.01863964 0.         0.00363592 ... 0.00116076 0.00183532 0.        ],Acne
265,[0. 0. 0. ... 0. 0. 0.],Acne
266,[0.19507732 0.23029599 0.23029599 ... 0.09196389 0.07089782 0.11536897],Acne
267,[0.23412961 0.11665761 0.10231712 ... 0.15221013 0.15455886 0.15682344],Acne
268,[0.10637572 0.04273762 0.15189171 ... 0.         0.         0.        ],Acne
269,[0.24032421 0.16529202 0.09421267 ... 0.01771565 0.08760196 0.19341187],Acne
270,[0. 0. 0. ... 0. 0. 0.],Acne
271,[0. 0. 0. ... 0. 0. 0.],Acne
272,[0. 0. 0. ... 0. 0. 0.],Acne
273,[0.10475178 0.05591896 0.06331264 ... 0.12295053 0.16017514 0.26500847],Acne
274,[0. 0. 0. ... 0. 0. 0.],Acne
275,[0.12885167 0.09604277 0.10684626 ... 0.21740924 0.21740924 0.17635755],Acne
276,[0. 0. 0. ... 0. 0. 0.],Acne
277,[0. 0. 0. ... 0. 0. 0.],Acne
278,[0.30599991 0.20191723 0.07905482 ... 0.13858025 0.1847503  0.04642004],Acne
279,[0.23573996 0.23573996 0.07239799 ... 0.1486733  0.02709821 0.0308561 ],Acne
280,[0.25637194 0.18000035 0.07282285 ... 0.04417246 0.17175803 0.09735315],Acne
281,[0.22782215 0.16551525 0.22782215 ... 0.06731622 0.07676375 0.15001073],Acne
282,[0.28044608 0.23186476 0.05641443 ... 0.01304308 0.09638312 0.14730278],Acne
283,[0.1053012  0.03433919 0.03633054 ... 0.12902398 0.06261175 0.16434836],Acne
284,[0.25271837 0.14527664 0.19247073 ... 0.16674116 0.19017051 0.22478414],Acne
285,[0.24232314 0.24232314 0.22195347 ... 0.04091037 0.17324725 0.06759457],Acne
286,[0. 0. 0. ... 0. 0. 0.],Acne
287,[0.26578184 0.13162868 0.06985689 ... 0.07134386 0.10884726 0.19631498],Acne
288,[0.10557787 0.15073285 0.18759437 ... 0.0605556  0.22661427 0.2042059 ],Acne
289,[0.21897163 0.14295113 0.08867284 ... 0.13598684 0.14365458 0.15665895],Acne
290,[0.24306177 0.07955258 0.13081502 ... 0.05406606 0.26415685 0.26415685],Acne
291,[0.32825187 0.0860058  0.0826525  ... 0.02498855 0.04874152 0.02829527],Acne
292,[0.00274668 0.         0.07832071 ... 0.00246814 0.         0.        ],Acne
293,[0.         0.         0.         ... 0.19770104 0.15041822 0.0641996 ],Acne
294,[0.         0.         0.         ... 0.10229956 0.07772563 0.25141574],Acne
295,[0.25293338 0.25293338 0.18300013 ... 0.         0.         0.        ],Acne
296,[0.23244268 0.08695606 0.05445219 ... 0.         0.11051416 0.        ],Acne
297,[0.26599698 0.12972702 0.11003417 ... 0.24433891 0.24433891 0.19281156],Acne
298,[0.05019112 0.09440901 0.047611   ... 0.16878989 0.         0.        ],Acne
299,[0.22486496 0.22486496 0.07601075 ... 0.22514728 0.22514728 0.10732119],Acne
300,[0.19261594 0.14161146 0.07138751 ... 0.02783746 0.03123332 0.06114193],Acne
301,[0. 0. 0. ... 0. 0. 0.],Acne
302,[0.24248314 0.24248314 0.16948708 ... 0.03809847 0.         0.        ],Acne
303,[0.25684897 0.11281962 0.25029332 ... 0.06513674 0.08852354 0.09890753],Acne
304,[0.21507173 0.07307227 0.04211436 ... 0.08846735 0.25177688 0.24647171],Acne
305,[0.28684883 0.08360561 0.01494758 ... 0.03501081 0.03075386 0.        ],Acne
306,[0.26689323 0.1399012  0.1092722  ... 0.05167252 0.0295189  0.07147462],Acne
307,[0.23894502 0.21550323 0.16216958 ... 0.09167431 0.06027914 0.16421222],Acne
308,[0.24823405 0.15698799 0.11115115 ... 0.0394521  0.09038743 0.15201205],Acne
309,[0.22905022 0.10130551 0.08845304 ... 0.24189538 0.17840208 0.23955557],Acne
310,[0.29937035 0.16851111 0.04881409 ... 0.09283634 0.19648342 0.26951764],Acne
311,[0.22457297 0.22457297 0.21975485 ... 0.11763971 0.10171592 0.07104016],Acne
312,[0. 0. 0. ... 0. 0. 0.],Acne
313,[0.23374253 0.07437751 0.14511179 ... 0.03962384 0.06224444 0.06910533],Acne
314,[0.26806102 0.10240054 0.08371312 ... 0.08009896 0.1998857  0.19294097],Acne
315,[0.26592029 0.26592029 0.26592029 ... 0.07466709 0.17950178 0.18558843],Acne
